"Date","Tank","TotalAlkalinity","pH","Salinity","Temperature","flag","S","T","Patm","P","pH","CO2","fCO2","pCO2","fCO2pot","pCO2pot","fCO2insitu","pCO2insitu","HCO3","CO3","DIC","ALK","OmegaAragonite","OmegaCalcite"
"2/20/17",1,2367.78791,7.327479372,28.3,10.2,8,28.3,10.2,1,0,7.327479372,113.482222480018,2504.98515375534,2514.66745958313,2504.98515375534,2514.66745958313,2504.98515375534,2514.66756096543,2305.76158006506,25.6194796268193,2444.8632821719,2367.78791,0.396391785456153,0.633888395032558
"2/20/17",2,2319.3936,7.329076769,28.1,10.22,8,28.1,10.22,1,0,7.329076769,110.950531215873,2447.90756311728,2457.36621382152,2447.90756311728,2457.36621382152,2447.90756311728,2457.36631059445,2258.51972785602,25.0739088273276,2394.54416789922,2319.3936,0.388092206965403,0.621049489213966
"2/20/17",3,2309.88602,7.325248324,28,10.25,8,28,10.25,1,0,7.325248324,111.548584447506,2462.13198509981,2471.642044269,2462.13198509981,2471.642044269,2462.13198509981,2471.64214210711,2249.851580601,24.7220119613491,2386.12217700985,2309.88602,0.38273266472245,0.612668135668461
"2/20/17",4,2287.72108,7.825963521,28.1,10.65,8,28.1,10.65,1,0,7.825963521,32.596357290244,729.448748901574,732.246434256077,729.448748901574,732.246434256077,729.448748901574,732.246442769264,2106.23058239996,74.6654271344173,2213.49236682462,2287.72108,1.15692818745398,1.84999615501206
"2/20/17",5,2336.14773,7.820147054,28.1,10.86,8,28.1,10.86,1,0,7.820147054,33.5805494496499,756.668650488287,759.562938785127,756.668650488287,759.562938785127,756.668650488287,759.562947904475,2152.37217582239,75.90812577102,2261.86085104306,2336.14773,1.17682724110673,1.88111379350465
"2/20/17",6,2298.36327,7.817941716,28.2,10.9,8,28.2,10.9,1,0,7.817941716,33.1270799324791,747.857017696285,750.71609331473,747.857017696285,750.71609331473,747.857017696285,750.716102215294,2117.15752405912,74.6016365607176,2224.88624055231,2298.36327,1.15650283629779,1.84781418704252
"3/20/17",1,2930.29308,7.304159027,28.1,10.68,8,28.1,10.68,1,0,7.304159027,147.010544463492,3293.08022275014,3305.74056772399,3293.08022275014,3305.74056772399,3293.08022275014,3305.74074115357,2858.98090834078,30.5162490539851,3036.50770185826,2930.29308,0.472880815457163,0.756124070806333
"3/20/17",2,2925.95472,7.306238319,28.2,11.74,8,28.2,11.74,1,0,7.306238319,141.917571763548,3292.49979133742,3304.98584747299,3292.49979133742,3304.98584747299,3292.49979133742,3304.98601695959,2851.32163769727,31.9591177161215,3025.19832717693,2925.95472,0.496571505270198,0.792187514495898
"3/20/17",3,2896.55123,7.29858374,28.2,11.11,8,28.2,11.11,1,0,7.29858374,145.406566655567,3305.20793849387,3317.84463221394,3305.20793849387,3317.84463221394,3305.20793849387,3317.84480532484,2825.49732264369,30.3599889297017,3001.26387822896,2896.55123,0.470913437270338,0.752122733787752
"3/20/17",4,2769.72514,7.816161448,28.2,11.4,8,28.2,11.4,1,0,7.816161448,39.63386605383,909.44867736605,912.903732076575,909.44867736605,912.903732076575,909.44867736605,912.903745099274,2554.55561133923,91.4162221977192,2685.60569959077,2769.72514,1.41906518407488,2.26527501449608
"3/20/17",5,2743.33934,7.806916418,28.3,11.46,8,28.3,11.46,1,0,7.806916418,40.0390823513515,921.062276218524,924.558786648538,921.062276218524,924.558786648538,921.062276218524,924.55879998886,2533.05391138033,89.1809703323803,2662.27396406406,2743.33934,1.38434934733974,2.20880888837837
"3/20/17",6,2727.94064,7.815694026,28.2,11.2,8,28.2,11.2,1,0,7.815694026,39.2936710895158,895.799887995401,899.211842631821,895.799887995401,899.211842631821,895.799887995401,899.211855320672,2517.24990155403,89.2836691426858,2645.82724178623,2727.94064,1.38521145809829,2.21203987107353
"4/4/17",1,2801.77913,7.290757252,26.5,10.96,8,26.5,10.96,1,0,7.290757252,146.981807523466,3292.48891758146,3305.10122904237,3292.48891758146,3305.10122904237,3292.48891758146,3305.10140137488,2737.63649679049,27.4386789453286,2912.05698325928,2801.77913,0.42642829719516,0.685810381726221
"4/4/17",2,2822.51611,7.282132205,26.4,10.92,8,26.4,10.92,1,0,7.282132205,151.470073723037,3386.64636409951,3399.62739082378,3386.64636409951,3399.62739082378,3386.64636409951,3399.62757331121,2759.49435383344,26.997546801156,2937.96197435763,2822.51611,0.419569086929377,0.675109974644785
"4/4/17",3,2800.87387,7.288186427,26.5,11.09,8,26.5,11.09,1,0,7.288186427,147.32650736792,3314.27331530119,3326.94806677561,3314.27331530119,3326.94806677561,3314.27331530119,3326.94824091194,2736.81124292349,27.4075944318467,2911.54534472325,2800.87387,0.426105056219769,0.685130165777449
"4/4/17",4,2584.60933,7.828503875,26.5,11.81,8,26.5,11.81,1,0,7.828503875,36.3158425053618,836.293047357949,839.453166504893,836.293047357949,839.453166504893,836.293047357949,839.453177420696,2383.39697685221,85.1829165976709,2504.89573595524,2584.60933,1.32717775458235,2.13113977613877
"4/4/17",5,2645.37017,7.804219841,26.5,11.75,8,26.5,11.75,1,0,7.804219841,39.5499046950223,909.004974597276,912.442782814614,909.004974597276,912.442782814614,909.004974597276,912.442795727714,2450.83440089892,82.6361209512706,2573.02042654521,2645.37017,1.28726246941681,2.06727585614109
"4/4/17",6,2604.22677,7.832363175,26.5,11.99,8,26.5,11.99,1,0,7.832363175,36.0651957923017,835.353270488097,838.502523072292,835.353270488097,838.502523072292,835.353270488097,838.502533921811,2398.75971190123,87.1061548143028,2521.93106250783,2604.22677,1.3578932935083,2.17972791474687
