Raw Data
Scope 1/1, Sample 1/3 (FISHER (Ref. 25°C) | 7.00)
Method Function,Sample (Calib) (C1)
Creation time,4/3/2018 7:12:27 AM,
Sample start time,4/3/2018 7:12:27 AM,
Temperature,25.0 °C,
Method Function,Titration stand (Titrationstand1)
Creation time,4/3/2018 7:12:27 AM,
Method Function,Stir (Stir1)
Creation time,4/3/2018 7:12:36 AM,
Method Function,Measure (normal) [1] (Measurenormal1)
Creation time,4/3/2018 7:13:37 AM,
T,21.4 °C,
E,-6.8 mV,
tMe,00:30 min,
ESTMe,-6.7 mV,
Scope 1/1, Sample 2/3 (FISHER (Ref. 25°C) | 4.00)
Method Function,Sample (Calib) (C1)
Creation time,4/3/2018 7:14:19 AM,
Sample start time,4/3/2018 7:14:19 AM,
Temperature,25.0 °C,
Method Function,Titration stand (Titrationstand1)
Creation time,4/3/2018 7:14:19 AM,
Method Function,Stir (Stir1)
Creation time,4/3/2018 7:14:20 AM,
Method Function,Measure (normal) [1] (Measurenormal1)
Creation time,4/3/2018 7:15:20 AM,
T,21.5 °C,
E,165.7 mV,
tMe,00:30 min,
ESTMe,165.8 mV,
Scope 1/1, Sample 3/3 (FISHER (Ref. 25°C) | 10.00)
Method Function,Sample (Calib) (C1)
Creation time,4/3/2018 7:16:02 AM,
Sample start time,4/3/2018 7:16:02 AM,
Temperature,25.0 °C,
Method Function,Titration stand (Titrationstand1)
Creation time,4/3/2018 7:16:03 AM,
Method Function,Stir (Stir1)
Creation time,4/3/2018 7:16:03 AM,
Method Function,Measure (normal) [1] (Measurenormal1)
Creation time,4/3/2018 7:17:03 AM,
T,21.5 °C,
E,-183.8 mV,
tMe,00:30 min,
ESTMe,-183.6 mV,
After Scope 1 / 1
Method Function,Calibration (Calibration1)
Creation time,4/3/2018 7:17:54 AM,
Successful,Yes,
Calib. temperature,21.5 °C,
SLOPECal1,-57.22 mV/pH,
SLOPECal2,-58.45 mV/pH,
ZEROCal1,6.896 pH,
ZEROCal2,6.898 pH,
Segment limit 1, 2,7.014 pH,
Method Function,Zero point 1 (Cal1.Z1)
Creation time,4/3/2018 7:17:54 AM,
Result,6.896 pH,
Decimal places,3,
Method Function,Slope 1 (Cal1.S1)
Creation time,4/3/2018 7:17:54 AM,
Result,-57.22 mV/pH,
Decimal places,2,
Method Function,Zero point 2 (Cal1.Z2)
Creation time,4/3/2018 7:17:54 AM,
Result,6.898 pH,
Decimal places,3,
Method Function,Slope 2 (Cal1.S2)
Creation time,4/3/2018 7:17:54 AM,
Result,-58.45 mV/pH,
Decimal places,2,

Resource Data
Scope 1/1, Sample 1/3 (FISHER (Ref. 25°C) | 7.00)
Method Function,Titration stand (Titrationstand1)
Type,Rondolino TTL,
Stirrer output,MB/STIRRER2,
Connection,MB/TTL,
Method Function,Measure (normal) [1] (Measurenormal1)
Sensor type,pH,
Unit,mV,
Sensor input,AB1/Sensor1,
Serial number,,
Int. temp. sensor,No,
Mon. life span,No,
Sensor type,Temperature,
Unit,°C,
Sensor input,AB1/PT1000,
Serial number,,
Zero point,0.0 °C,
Calibration method,External (Manual),
Date / Time,7/15/2016 11:24:28 AM,
Performed by,External (METTLER TOLEDO),
Mon. usable life,No,
Mon. life span,No,
Scope 1/1, Sample 2/3 (FISHER (Ref. 25°C) | 4.00)
Method Function,Titration stand (Titrationstand1)
Type,Rondolino TTL,
Stirrer output,MB/STIRRER2,
Connection,MB/TTL,
Method Function,Measure (normal) [1] (Measurenormal1)
Sensor type,pH,
Unit,mV,
Sensor input,AB1/Sensor1,
Serial number,,
Int. temp. sensor,No,
Mon. life span,No,
Sensor type,Temperature,
Unit,°C,
Sensor input,AB1/PT1000,
Serial number,,
Zero point,0.0 °C,
Calibration method,External (Manual),
Date / Time,7/15/2016 11:24:28 AM,
Performed by,External (METTLER TOLEDO),
Mon. usable life,No,
Mon. life span,No,
Scope 1/1, Sample 3/3 (FISHER (Ref. 25°C) | 10.00)
Method Function,Titration stand (Titrationstand1)
Type,Rondolino TTL,
Stirrer output,MB/STIRRER2,
Connection,MB/TTL,
Method Function,Measure (normal) [1] (Measurenormal1)
Sensor type,pH,
Unit,mV,
