Raw Data
Scope 1/1, Sample 1/6 (T1 A 4/4/17)
Method Function,Sample (S1)
Creation time,4/3/2018 7:51:31 AM,
Sample start time,4/3/2018 7:51:31 AM,
Sample size,50.0378 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,4/3/2018 7:51:32 AM,
Method Function,Measure (normal) [1] (Measurenormal1)
Creation time,4/3/2018 7:51:41 AM,
T,21.4 °C,
E,-101.8 mV,
tMe,00:05 min,
ESTMe,143.4 mV,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,4/3/2018 7:51:47 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.150433 mmol,
VEQ1,1.504333 mL,
EST,-104.6 mV,
VEX,0.000167 mL,
VEND,1.504500 mL,
t,03:23 min,
QEND,0.150450 mmol,
QEX,0.000017 mmol,
Method Function,Stir (Stir1)
Creation time,4/3/2018 7:55:19 AM,
Method Function,Titration (EP) [2] (TitrationEP2)
Creation time,4/3/2018 8:02:19 AM,
Terminated at,Stop at endpoint,
EEQ1,240.0 mV,
Q1,0.095400 mmol,
VEQ1,0.9540 mL,
EST,190.0 mV,
VEX,0 mL,
VEND,0.9540 mL,
t,02:29 min,
QEND,0.095400 mmol,
QEX,0.0000 mmol,
Scope 1/1, Sample 2/6 (T2 A 4/4/17)
Method Function,Sample (S1)
Creation time,4/3/2018 8:05:09 AM,
Sample start time,4/3/2018 8:05:09 AM,
Sample size,50.0383 g,
Correction factor,1.0,
Temperature,25.0 °C,
Density,1.0 g/mL,
Method Function,Titration stand (Titrationstand1)
Creation time,4/3/2018 8:05:09 AM,
Method Function,Measure (normal) [1] (Measurenormal1)
Creation time,4/3/2018 8:05:09 AM,
T,21.3 °C,
E,-102.7 mV,
tMe,00:06 min,
ESTMe,-5.9 mV,
Method Function,Titration (EP) [1] (TitrationEP1)
Creation time,4/3/2018 8:05:16 AM,
Terminated at,Stop at endpoint,
EEQ1,190.0 mV,
Q1,0.150100 mmol,
VEQ1,1.5010 mL,
